instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
AKSHARCHEM INDIA LIMITED,NSE_EQ|INE542B01011,Monthly,2025-09-01,279.0,285.0,245.3,268.4,192406.0,0.0,35.14870756773591
WANBURY LIMITED,NSE_EQ|INE107F01022,Monthly,2025-09-01,278.5,288.45,246.4,249.65,1664872.0,0.0,53.91112266112267
HIMADRI SPECIALITY CHEM L,NSE_EQ|INE019C01026,Monthly,2025-09-01,447.4,490.0,447.4,455.2,16011741.0,0.0,51.64182874463248
UTIAMC - SILVERETF,NSE_EQ|INF789F1AYK6,Monthly,2025-09-01,117.84,130.3,117.84,129.9,13594583.0,0.0,79.1508238276299
SILLY MONKS ENTERTAIN LTD,NSE_EQ|INE203Y01012,Monthly,2025-09-01,16.02,18.25,15.0,16.28,699632.0,0.0,39.43850267379679
REMSONS INDUSTRIES LTD,NSE_EQ|INE474C01023,Monthly,2025-09-01,120.04,132.36,119.13,126.93,2354370.0,0.0,36.68838363692772
GRM OVERSEAS LIMITED,NSE_EQ|INE192H01020,Monthly,2025-09-01,366.0,378.45,338.15,354.45,5741506.0,0.0,69.71768202080239
EDELAMC - EBBETF0433,NSE_EQ|INF754K01QX0,Monthly,2025-09-01,1244.87,1264.85,1244.87,1251.25,41304.0,0.0,87.13014951738067
DCM SHRIRAM LIMITED,NSE_EQ|INE499A01024,Monthly,2025-09-01,1241.1,1414.4,1212.5,1235.2,6128524.0,0.0,56.348058708697856
VISHWARAJ SUGAR IND LTD,NSE_EQ|INE430N01022,Monthly,2025-09-01,8.75,10.2,8.44,8.46,9803869.0,0.0,26.11464968152866
AVALON TECHNOLOGIES LTD,NSE_EQ|INE0LCL01028,Monthly,2025-09-01,832.2,1009.9,832.2,978.25,5217023.0,0.0,70.13858239915263
GODAVARI BIOREFINERIES L,NSE_EQ|INE497S01012,Monthly,2025-09-01,252.0,304.0,247.0,276.88,931200.0,0.0,
KIRLOSKAR OIL ENG LTD,NSE_EQ|INE146L01010,Monthly,2025-09-01,896.0,976.8,855.8,965.0,7561713.0,0.0,40.14641288433382
EMAMI REALTY LIMITED,NSE_EQ|INE778K01012,Monthly,2025-09-01,113.29,122.14,111.12,113.23,392464.0,0.0,55.95843935538591
MANAPPURAM FINANCE LTD,NSE_EQ|INE522D01027,Monthly,2025-09-01,262.25,298.0,262.25,293.9,58125941.0,0.0,66.12707896011625
AKME FINTRADE (INDIA) LTD,NSE_EQ|INE916Y01027,Monthly,2025-09-01,7.05,8.25,6.88,7.99,36011690.0,0.0,30.200633579725448
LICNAMC - LICNMID100,NSE_EQ|INF767K01RN1,Monthly,2025-09-01,57.87,67.5,56.31,58.77,1027672.0,0.0,50.339366515837106
IND MOTOR PART & ACC LTD,NSE_EQ|INE547E01014,Monthly,2025-09-01,1000.5,1100.0,986.0,1067.8,45193.0,0.0,37.761647535449015
BOROSIL RENEWABLES LTD,NSE_EQ|INE666D01022,Monthly,2025-09-01,558.5,634.7,550.0,619.85,15020382.0,0.0,55.09430854130632
CHOLAMANDALAM FIN HOL LTD,NSE_EQ|INE149A01033,Monthly,2025-09-01,1738.4,2046.3,1717.3,1988.8,4064640.0,0.0,58.918397092506005
HYBRID FINANCIAL SERVICE,NSE_EQ|INE965B01022,Monthly,2025-09-01,14.47,16.27,13.06,14.35,200391.0,0.0,55.21395928541753
UPL LIMITED,NSE_EQ|INE628A01036,Monthly,2025-09-01,715.7,732.0,679.35,682.8,40151035.0,0.0,61.41870295906794
GARDEN REACH SHIP&ENG LTD,NSE_EQ|INE382Z01011,Monthly,2025-09-01,2360.0,2760.0,2350.0,2668.4,32344814.0,0.0,53.25789219270957
COAL INDIA LTD,NSE_EQ|INE522F01014,Monthly,2025-09-01,375.3,402.45,375.1,394.7,77232834.0,0.0,27.068345323740985
SUNDROP BRANDS LIMITED,NSE_EQ|INE209A01019,Monthly,2025-09-01,811.2,897.6,799.05,810.35,388943.0,0.0,42.19412535656465
HEXA TRADEX LIMITED,NSE_EQ|INE750M01017,Monthly,2025-09-01,180.8,194.89,174.1,176.78,124642.0,0.0,44.05434591526659
BRITANNIA INDUSTRIES LTD,NSE_EQ|INE216A01030,Monthly,2025-09-01,5838.5,6336.0,5779.0,6056.5,6420605.0,0.0,52.92448266595002
MAHINDRA & MAHINDRA LTD,NSE_EQ|INE101A01026,Monthly,2025-09-01,3191.1,3723.8,3191.1,3584.8,50579740.0,0.0,63.728353003203964
INTENSE TECHNOLOGIES LTD,NSE_EQ|INE781A01025,Monthly,2025-09-01,85.4,139.05,84.67,139.0,8802993.0,0.0,44.87080194325143
GANESH HOUSING LIMITED,NSE_EQ|INE460C01014,Monthly,2025-09-01,860.8,902.95,831.0,865.05,713371.0,0.0,47.123930907261446
MEGASOFT LTD,NSE_EQ|INE933B01012,Monthly,2025-09-01,132.4,165.6,126.73,164.36,3476792.0,0.0,72.12597660988985
FINO PAYMENTS BANK LTD,NSE_EQ|INE02NC01014,Monthly,2025-09-01,283.0,289.0,264.3,279.0,3309994.0,0.0,44.85014033680833
LODHA DEVELOPERS LIMITED,NSE_EQ|INE670K01029,Monthly,2025-09-01,1180.0,1229.0,1159.6,1212.3,17169540.0,0.0,45.58150183150183
INFO EDGE (I) LTD,NSE_EQ|INE663F01032,Monthly,2025-09-01,1358.1,1426.0,1324.4,1417.7,18389835.0,0.0,50.48582351067218
GKW LIMITED,NSE_EQ|INE528A01020,Monthly,2025-09-01,1699.7,1775.0,1630.0,1670.5,9475.0,0.0,29.496684472278503
MISHRA DHATU NIGAM LTD,NSE_EQ|INE099Z01011,Monthly,2025-09-01,364.6,419.7,363.1,401.05,8896961.0,0.0,42.3599688338672
DALMIA BHARAT SUG IN LTD,NSE_EQ|INE495A01022,Monthly,2025-09-01,372.0,404.65,366.6,371.55,1922491.0,0.0,46.77945193409111
GATEWAY DISTRIPARKS LTD,NSE_EQ|INE079J01017,Monthly,2025-09-01,64.05,67.72,63.41,63.97,20309065.0,0.0,16.228134646479504
ROTO PUMPS LIMITED,NSE_EQ|INE535D01037,Monthly,2025-09-01,84.01,85.53,79.99,81.1,2861959.0,0.0,36.216887417218544
