instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Trade_Type,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Since_Entry
LATTEYS INDUSTRIES LTD,NSE_EQ|INE262Z01023,Weekly,2025-02-17,20.7,21.65,18.8,20.08,317746.0,0.0,27.833274066334532,28.112718681808197,11 x 51,Death,Short,2025-02-17,20.08,,,218
NANDAN DENIM LIMITED,NSE_EQ|INE875G01048,Weekly,2025-02-17,4.06,4.16,3.46,3.71,27679295.0,0.0,4.501422023878645,4.581096454514894,11 x 51,Death,Short,2025-02-17,3.71,,,218
UCAL LIMITED,NSE_EQ|INE139B01016,Weekly,2025-02-17,148.1,154.4,140.05,147.86,43800.0,0.0,167.55981963671852,169.67256085539563,11 x 51,Death,Short,2025-02-17,147.86,,,218
AEROFLEX ENTERPRISES LTD,NSE_EQ|INE065D01027,Weekly,2025-02-17,99.1,102.03,92.35,95.99,1457799.0,0.0,107.69723594011596,109.21994167722389,11 x 51,Death,Short,2025-02-17,95.99,,,218
RATNAVEER PRECISION ENG L,NSE_EQ|INE05CZ01011,Weekly,2025-02-17,142.0,151.63,132.81,144.52,805850.0,0.0,170.35012470296232,170.73869444535418,11 x 51,Death,Short,2025-02-17,144.52,,,218
QUICK HEAL TECH LTD,NSE_EQ|INE306L01010,Weekly,2025-02-10,440.0,454.0,391.55,400.0,333589.0,0.0,528.2395817101375,541.3277872950412,11 x 51,Death,Short,2025-02-10,400.0,,,225
ALBERT DAVID LIMITED,NSE_EQ|INE155C01010,Weekly,2025-02-10,1174.05,1201.55,834.1,851.5,114374.0,0.0,1192.1494301755863,1236.027957482282,11 x 51,Death,Short,2025-02-10,851.5,,,225
SHREE RAMA NEWSPRINT LTD,NSE_EQ|INE278B01020,Weekly,2025-02-10,20.0,23.5,19.0,22.43,2920959.0,0.0,18.953466646909018,18.849790881371163,11 x 51,Golden,Long,2025-02-10,22.43,,,225
STANDARD INDUSTRIES LTD.,NSE_EQ|INE173A01025,Weekly,2025-01-27,26.3,26.3,23.45,24.2,186645.0,0.0,26.41144743823576,26.421963019429246,11 x 51,Death,Short,2025-01-27,24.2,,,239
HDFCAMC - HDFCMOMENT,NSE_EQ|INF179KC1HV6,Weekly,2025-01-27,30.44,30.44,28.51,30.0,1359350.0,0.0,32.43369157324494,32.74415551243797,11 x 51,Death,Short,2025-01-27,30.0,,,239
